㐀,キュウ おか
㤚,コウ ゴウ よろこぶ
㤛,ジン
㤜,キツ キチ ケツ ケチ
㤝,シュウ シュ
㤞,タク ダク タ ジャク
㤟,キョウ
㤠,レツ
㤡,レツ レチ レイ
㤢,イク
㤣,ホウ ヒョウ
㤤,ユ
㤥,カイ ガイ
㤦,リ
㤧,コウ ゴ
㤨,キョウ ク コウ
㤩,カク つつしむ
㤪,エン
㤫,トク
㤬,イ いかる
㤮,キョウ コウ オウ
㤯,ケイ キョウ
㤰,サク ザク
㤱,フウ フ トウ ヅ
㤲,キョウ
㤳,ハイ ガイ
㤴,チョウ ショウ
㤵,ジ いつくしむ
㤶,ボウ モウ
㤷,カン ゴン
㤸,ケキ キャク
㤹,キュウ グ
㤺,コウ くらい ぼける
㤻,ロン ラン
㤾,サン タン トン
㤿,エン
㥀,ショク ジキ トク
㥁,トク
㥂,トク
㥃,モン もだえる
㥄,リョウ
㥅,シュウ ジュ
㥆,トツ トチ タイ テ
㥇,サン ザン
㥈,チョウ ジョウ
㥉,フウ フ
㥊,ホウ ビョウ
㥋,イ エ
㥌,キク コク
㥍,キ
㥎,リ
㥏,テン はじる
㥐,エン オン ウン うらむ かなしむ にくむ
㥑,オウ オ ユウ
㥒,サイ
㥓,キ
㥔,イク
㥕,リン
㥖,ソウ ス
㥚,ユ ギョ ゴ
㥛,キョク コキ カク キャク
㥜,イ
㥝,ベン メン ビ ミ
㥞,スイ
㥟,カイ ゲ ケイ
㥠,ショ
㥡,チ
㥢,シュウ ジュ
㥣,ケイ エ
㥤,キン
㥥,グ
㥦,キョウ こころよい
㥧,ジュン
㥨,スイ ズイ イ
㥩,タ
㥬,ホウ ボウ
㥭,タイ
㥮,ソウ ショウ
㥯,イン オン
㥰,ソウ
㥱,ヒ
㥲,シン
㥳,ゲン ガン
㥴,イ シ テイ ダイ
㥵,コン
㥶,ソク サイ ケン
㥷,キョウ エイ
㥸,ビン
㥹,ホン
㥺,コウ
㥼,イン オン エン
㥽,サク シャク
㥾,ジョク ニキ トク ジツ ニチ
㥿,ゴウ
㦀,ホウ ボ
㦁,レン テン
㦂,ショウ ジョウ
㦃,サン セン
㦄,バ
㦅,タイ テツ デチ テイ
㦆,コ ク カ ケ
㦇,ロク
㦉,イ
㦊,カ ゲ
㦋,タ テ シャ
㦌,サン コツ コチ カツ カチ ケキ キャク
㦍,ガク ゴ
㦎,カク
㦏,シュン セン
㦐,ジ ニ
㦑,カン
㦒,リ レイ ライ
㦓,ケン ゲン デン ネン ゼン
㦔,エン
㦕,リュウ リュ
㦖,モン
㦗,キン コン ゴン
㦘,ケキ キャク
㦚,ヘン
㦛,ヨ
㦜,カク ワク キャク
㦝,バク
㦞,チュウ
㦟,バイ マイ
㦡,ラク
㦢,セチ セツ
㦣,エイ エ ワイ エツ エチ ゲイ
㦤,イ よい
㦥,ケン カン コン
㦦,ケキ カク キャク
㦧,サン いたむ
㦨,ラン
㦩,イン オン
㦪,ショウ
㦫,サツ サチ
㦬,ラ
㦭,レイ リョウ
㦮,サン セン ザン
㦯,ワク コク ヨク イキ ある あるいは
