㐀,キュウ おか
𪋝,ソク
𪋞,こがら
𪋡,ホク ボク
𪋢,ビ ミ
𪋣,ジュ
𪋥,ケイ
𪋧,シャ
𪋪,レイ
𪋫,ギョウ ゴウ
𪋬,グ
𪋮,ヨ ショ ジョ
𪋯,ジュ ニュ ドウ ヌ ダン ナン
𪋰,ショ
𪋱,セン ゼン
𪋲,リン
𪋳,レイ
𪋵,ロク
𪋷,リン
𪋸,ベイ
𪋹,ガン
𪋺,ドウ
𪋻,チン ジン
𪋼,キク
𪋾,リョウ
𪌀,リョウ
𪌁,ボウ モウ
𪌂,タク
𪌃,ケツ
𪌄,ヒ
𪌅,ドウ ノウ
𪌆,キョ ゴ
𪌇,ケツ
𪌈,ヒ ビ
𪌉,トウ ツ
𪌊,ゲツ
𪌋,トン
𪌌,ネツ
𪌍,ケイ
𪌏,リョウ
𪌑,ゴウ
𪌒,リョウ
𪌓,コク
𪌕,ショウ
𪌖,キョ
𪌗,キク
𪌘,トウ ツ
𪌛,リン
𪌝,バク
𪌞,ズイ
𪌟,サク
𪌢,トウ ツ
𪌣,カク キャク
𪌤,タイ
𪌧,ケツ カツ
𪌩,テン
𪌪,チョウ
𪌫,セキ シュ ク コク
𪌬,キク
𪌭,ケン
𪌮,サ シャ
𪌯,ソツ
𪌰,ホツ ボチ
𪌱,リ
𪌲,キク
𪌳,ラ
𪌵,リョウ
𪌶,ソク
𪌷,トウ
𪌸,ボウ
𪌹,チ
𪌺,ベツ
𪌼,トウ ドウ
𪌽,コン ゴン
𪌾,ヒ
𪌿,ジョウ
𪍀,キ
𪍁,キン ゴン ケン ガン
𪍂,コク
𪍃,コツ
𪍄,ロク
𪍅,ヤ
𪍆,リ
𪍇,バク
𪍈,トウ
𪍉,ショウ
𪍋,ヨク
𪍌,サ
𪍍,トウ
𪍎,カ
𪍏,ホ ブ
𪍐,セツ
𪍑,ショウ
𪍒,コ
𪍓,ボウ ム モ おおむぎ
𪍔,サク
𪍕,ソツ
𪍗,シュウ
𪍘,ボウ
𪍚,キク
𪍛,ソツ ソチ セツ セチ
𪍜,ヒ
𪍝,ウン
𪍞,ヒ
𪍟,サク
𪍠,コク
𪍡,ハク
𪍣,ロウ ル
𪍤,バク マク
𪍥,コク
𪍦,レン
𪍧,セン ゼン
𪍨,サ
𪍩,マン バン
𪍪,ヒツ
𪍫,ボウ
𪍬,サ
𪍭,ボウ
𪍰,サ
𪍲,テイ タイ
𪍳,スイ
𪍴,レン
𪍵,タン ドン
𪍶,セン ゼン
𪍸,キョ ゴ
𪍹,トク ドク
𪍺,カン ゲン
𪍻,ソウ
𪍼,テキ
𪍽,ソウ
𪍾,ゴウ
𪍿,コウ
𪎀,サ
𪎁,ロウ
𪎂,ライ リョク リキ
𪎃,ゲツ ゲチ
𪎄,ハク
𪎅,ゲツ
𪎆,ラ
𪎇,サク
𪎌,こむぎ
𪎒,シャク
𪎓,ビ
𪎔,ビ ミ
𪎕,ビ ミ フン ブン
𪎖,ビ
𪎗,レキ リャク ビ ミ
𪎚,マ
𪎛,エン オン
𪎜,キ
𪎝,ホン ボン
𪎞,キュウ ク キョウ コウ
𪎠,バ マ
𪎡,チュ
𪎣,リュウ ル
𪎤,ヨク オク
𪎥,セキ
𪎦,ビ ミ
𪎧,セキ
𪎨,トウ ズ
𪎪,シュウ
𪎫,ボ モ
𪎬,フン
𪎭,ビ ミ
𪎮,キ
𪎯,ヒ
𪎰,フン ボン ヒ ビ
𪎲,サク
𪎴,トン ドン
𪎵,コウ ゴウ
𪎶,トン ドン
𪎸,コウ
𪎹,コウ
𪎺,タク チャク
𪎻,ショウ
𪎽,シュウ シュ トウ ツ
𪎾,テン
𪏀,チ
𪏁,テン デン
𪏂,テン デン
𪏅,ケイ
𪏆,トン タン
𪏇,イ
𪏈,シャク サク
𪏉,テン
𪏊,セン ベン メン
𪏋,テン
𪏌,ヨウ
𪏍,コウ
𪏏,キ
𪏐,チ
𪏑,コウ
𪏒,コウ
𪏓,コウ オウ
𪏔,ウン
𪏕,キ
𪏗,ヘン セン
𪏘,トウ
𪏙,コウ オウ
𪏚,ウン
𪏛,ユウ
𪏜,トウ
𪏝,タン
𪏞,カイ
𪏟,バク
𪏠,コウ
𪏡,トウ
𪏢,コウ
𪏤,カイ ケ
𪏥,コウ
𪏦,テン デン
𪏧,ロウ
𪏨,シャク サク
𪏩,ズイ
𪏪,コウ
𪏫,ヒョウ
𪏬,コウ
𪏮,ジョ ニョ
𪏯,レイ くろい
𪏰,コウ
𪏲,ジュウ ニュ
𪏳,コ ゴ
𪏴,コン キン ゴン
𪏶,ホウ ヒョウ
𪏷,ダ
𪏸,デイ ナイ
𪏹,コ
𪏺,ヘツ ベチ ヒツ ビチ
𪏻,コ ゴ
𪏼,リ
𪏽,コウ
𪏿,チュ
𪐀,ダ ナ
𪐂,ケン カン
𪐃,ホウ フ
𪐄,ヒ ハイ ヘ
𪐇,デン ネン
𪐈,トウ
𪐉,コ
𪐋,レン
𪐌,ジョク ニキ ジツ
𪐍,レン
𪐎,バ メ ビ ミ
𪐏,タク チャク テキ
𪐑,チ
𪐒,フク
𪐓,カ ケ サ ジャ
𪐔,イ
𪐕,ケイ
𪐖,ロウ ル
𪐗,コク
𪐘,イ
𪐙,ホク
𪐚,エイ
𪐛,ゲイ
𪐜,アン
𪐝,タイ ダイ
𪐞,ト ツ
𪐟,カン ガン
𪐠,トン
𪐣,エイ
𪐤,ユウ ウ
𪐥,タイ
𪐦,コウ
𪐧,ショ ジョ
𪐨,タン
𪐩,ベキ ミャク
𪐪,タツ
𪐫,コク
𪐬,ガン
𪐭,エイ
𪐮,シュク ボツ
𪐯,ヨウ
𪐰,ジ
𪐲,シン
𪐳,シン
𪐴,チュ
𪐷,くろい くろ
𪐹,ワイ
𪐺,トウ
𪐻,ケン
𪐿,ホウ
𪑀,カイ ケ
𪑁,イ
𪑂,サツ セチ
𪑃,サン
𪑄,ロ
𪑆,ヨク イク
𪑇,アン
𪑈,ゲン
𪑉,バン マン
𪑊,ショウ
𪑋,ラツ ラチ
𪑌,ヨク
𪑏,ト
𪑐,ボク
𪑒,トン
𪑓,タン ドン
𪑔,ロク
𪑕,コン
𪑖,ホン
𪑗,ショウ
𪑘,リョウ
𪑙,キン コン カン
𪑚,ライ リ
𪑛,バイ
𪑜,チ
𪑝,ヨク イキ キョク イク ケキ
𪑞,リョウ
𪑣,テン
𪑦,エツ エチ
𪑧,リョウ チョウ ジョウ
𪑨,サツ セチ
𪑩,テン デン
𪑪,バン マン
𪑫,タイ
𪑬,チョウ ジョウ
𪑭,エイ エ
𪑮,デン ネン
𪑯,ルイ
𪑰,ヘイ ヒョウ
𪑱,オク アク
𪑲,エツ
𪑳,シン
𪑷,ガイ
𪑸,ベキ
𪑹,カイ
𪑻,コウ
𪑼,ケン
𪑽,サイ
𪑾,ジョク ニク
𪑿,シ
𪒀,ハン バン
𪒁,レイ
𪒂,ボク モク トウ
𪒃,ヨク
𪒄,ベキ ミャク
𪒆,シツ
𪒇,ボク
𪒈,アン
𪒊,セキ
𪒋,ハン
𪒍,ビョウ
𪒏,ロク
𪒐,ベキ
𪒑,セキ シャク
𪒒,チョウ チュ
𪒓,ロ
𪒔,リ
𪒕,イ
𪒖,エイ
𪒘,チョウ ジョウ
𪒙,サツ サチ
𪒚,レイ
𪒛,タイ ズイ
𪒜,バツ マチ バイ メ カイ ケ
𪒝,アン
𪒞,エン
𪒟,ソウ ゾウ
𪒠,アン エン
𪒡,デ タイ ダイ
𪒢,ホク
𪒣,ウツ ウチ
𪒧,タン
𪒩,カツ カチ
𪒪,バイ メ
𪒫,ケン
𪒬,ジュウ ニュ
𪒭,キン ゴン
𪒮,テン
𪒯,キン ゴン
𪒰,ホン
𪒲,ギョウ
𪒴,タイ ダイ
𪒹,カン シン
𪒺,レイ ライ
𪒻,アン
𪒼,サツ
𪒾,タン ドン
𪒿,トウ ドウ ズ
𪓀,レキ リャク
𪓁,タイ
𪓃,ジョウ ニョウ
𪓄,サン ザン
𪓅,ソウ
𪓆,タン
𪓉,ウツ オチ
𪓊,ウツ ウチ
𪓋,ベイ
𪓌,サイ セ
𪓎,ヘン ベン
𪓏,ベン メン ヘン
𪓐,ソ
𪓑,ボウ
𪓒,ゲン
𪓓,キュウ
𪓔,キュウ
𪓕,ボウ
𪓖,ボウ
𪓘,ザン
𪓛,オウ ヨウ
𪓜,ハ
𪓝,ボウ
𪓞,ク コウ
𪓟,ク コウ
𪓢,ベイ
𪓤,ワイ
𪓥,ベイ
𪓧,シン
𪓨,チョウ
𪓩,ク
𪓬,ベイ メイ
𪓭,セツ
𪓮,カツ カチ
𪓯,ベイ
𪓰,シュウ シュク
𪓱,ヨウ
𪓲,チョウ
𪓴,ゴウ
𪓵,シュク
𪓶,ゴウ
𪓷,ケイ ゲイ
𪓸,タ
𪓹,バ メ
𪓻,シ
𪓼,テン
𪓽,タ
𪓾,ゴウ
𪓿,シ
𪔀,ベツ
𪔁,シュウ
𪔂,テイ かなえ まさに
𪔃,ケイ ケン キョウ
𪔄,シ
𪔅,ウン エン
𪔆,カン
𪔈,ウン
𪔊,セイ
𪔋,ケキ キャク
𪔍,うつ
𪔎,コ
𪔏,チン
𪔐,コ
𪔑,ホウ ビョウ
𪔔,ホウ
𪔕,トウ
𪔖,トウ ズ チュウ ジュ
𪔗,イン オン エン
𪔘,コウ
𪔙,エン
𪔛,トウ
𪔜,トウ
𪔝,トウ ズ
𪔟,カ
𪔢,リュウ リュ
𪔣,コウ ク
𪔤,チョウ
𪔥,エン イン
𪔦,トウ ズ
𪔧,チョウ
𪔨,コ
𪔩,カン ゲン
𪔪,チョウ シュウ
𪔬,ソウ
𪔮,コウ
𪔯,セキ
𪔰,イン オン
𪔱,エン イン
𪔳,トウ ズ ロウ ル リュウ リュ ホウ ボウ
𪔵,フン
𪔶,トウ
𪔷,リョウ リュ ホウ
𪔸,チョウ
𪔺,ジン ニン
𪔻,シュウ
𪔼,シュン
𪔽,イン
𪔾,ヘイ ビョウ
𪔿,ホク ハツ
𪕀,ゲン ガン
𪕁,チン ジン
𪕂,ホク
𪕃,ホウ ボウ
𪕄,シュウ
𪕆,ケキ キャク
𪕇,コウ
𪕈,ビ ミ
𪕉,コ
𪕊,シ
𪕋,リュウ ル
𪕌,レイ リョウ
𪕍,ケイ キョウ
𪕎,ジョウ ニュ
𪕏,ユウ
𪕑,シ
𪕒,ヘイ ビョウ
𪕓,コウ
𪕔,ジ ニ
𪕗,コウ
𪕘,カク
𪕚,リュウ
𪕛,カン
𪕜,ゴ
𪕝,ショク ソク
𪕞,シュン
𪕟,ハイ
𪕤,エン
𪕦,キュウ
𪕧,テイ
𪕨,ジ ニ
𪕩,テキ チャク
𪕪,スイ
𪕫,ヨウ
𪕬,テイ
𪕭,アイ エイ
𪕮,コ ゴ
𪕯,ケキ ギャク ケツ ゲチ
𪕱,コ
𪕴,リ
𪕵,シ
𪕶,ヤク アク エキ
𪕷,コク
𪕸,コク
𪕹,トウ ドウ
𪕺,ホウ
𪕽,シ
𪕾,コ
𪕿,キュウ ク
𪖀,シャク サク
𪖁,ショウ シュ
𪖂,リ
𪖃,コク
𪖄,コウ
𪖅,フン
𪖆,ハツ
𪖇,ハン ボン
𪖈,ホク
𪖉,セイ
𪖋,セツ ゼチ
𪖌,ロ
𪖍,レキ リャク
𪖎,サン ザン
𪖏,ク
𪖐,ギョウ キョウ ギュウ グ アツ エチ
𪖑,キョウ
𪖒,キュウ
𪖓,キュウ
𪖕,カイ ケ
𪖗,コウ
𪖚,テン
𪖛,キュウ ク
𪖜,クツ
𪖞,ヒ
𪖡,ゴツ
𪖢,カイ ケ
𪖣,テイ
𪖤,ゴツ
𪖥,キ
𪖦,テイ タイ
𪖧,シン
𪖨,コウ
𪖩,キク コク
𪖪,キ
𪖮,テイ
𪖯,ヘン
𪖰,テイ
𪖳,レン
𪖵,オウ
𪖶,ソツ ソチ
𪖷,リョウ
𪖻,キュウ
𪖼,シン
𪖽,シン
𪖾,カイ
𪗁,レキ リャク
𪗂,サン ザン
𪗅,セイ
𪗆,セイ ザイ
𪗇,ザイ セイ サイ ほぞ
𪗉,シ
𪗊,セイ
𪗋,シ
𪗌,セイ
𪗍,セイ サイ ザイ
𪗏,セイ ザイ
𪗐,シ
𪗑,シ
𪗒,サイ
𪗔,ハツ ハチ
𪗖,キョ
𪗘,ケツ
𪗙,ガン ゲン ゴン カン
𪗚,コツ ケツ
𪗛,ガン ゲン ゴン
𪗜,コウ ゴウ
𪗝,ドウ ノウ
𪗞,キ
𪗟,ケツ
𪗠,シン
𪗡,ゴウ
𪗢,カイ
𪗣,カイ
𪗤,ガン ゲン
𪗥,シン
𪗦,タン
𪗧,シ
𪗨,シツ ジチ シチ
𪗩,チ
𪗪,シ チ
𪗫,テツ デチ チツ チチ
𪗬,サ シャ
𪗭,タ サ
𪗯,ギン
𪗱,そ
𪗲,レイ
𪗴,ジョウ
𪗵,タ
𪗶,サイ シ
𪗷,ゲイ
𪗸,ベイ ミョウ
𪗹,ガイ
𪗺,シ
𪗻,チツ チチ テツ デチ
𪗽,カツ カチ ゲチ
𪗾,カツ ケチ ゲチ
𪗿,ラツ
𪘀,ヘイ ヒョウ ヘン ベン
𪘁,トウ コウ ゴウ ギョウ
𪘂,ゲツ ゲッ かじる かむ
𪘃,イ
𪘄,カン
𪘅,ゲツ
𪘆,キュウ
𪘇,タイ
𪘊,ガク
𪘋,ギ
𪘍,タン
𪘎,ギン
𪘏,サク シュク ショク
𪘐,ガ
𪘑,サン
𪘒,ガン ゴン
𪘓,サ ザ
𪘔,セイ ラツ
𪘕,タ ダ
𪘖,ゲツ
𪘗,タ ダ
𪘘,コウ
𪘚,ご
𪘛,サク
𪘜,タイ
𪘝,サン
𪘟,コン
𪘠,サ
𪘡,サ
𪘢,カツ
𪘣,ガ
𪘤,ショウ ソウ
𪘥,ライ ケツ
𪘦,ケン
𪘧,ソツ ゾチ セツ ゼチ シツ シチ サツ
𪘨,タイ
𪘩,グン
𪘪,サン ゼン セン
𪘬,ギ ガイ ゲ
𪘭,コツ
𪘮,ソク
𪘰,ガク
𪘱,シ
𪘲,ギ ガイ ゲ シ
𪘳,ヤク
𪘴,シュウ
𪘶,カン
𪘷,ショ
𪘸,シュウ
𪘹,カツ ガチ
𪘺,カ ケ
𪘼,ラツ ラチ
𪘽,ガク
𪘾,ソウ
𪘿,サイ
𪙀,ショ ソ
𪙁,サ
𪙂,ラツ
𪙃,ゴウ
𪙅,サン
𪙆,セツ
𪙇,セツ
𪙈,コツ ゴチ
𪙉,シ
𪙊,ガン ゲン
𪙋,シ
𪙌,セツ セチ
𪙍,ハク
𪙎,ショウ ソウ
𪙏,カイ ガイ
𪙐,シ
𪙑,セツ
𪙒,ソウ
𪙓,ゲツ
𪙔,タイ
𪙖,ケン
𪙗,シュウ
𪙘,セイ
𪙙,セイ
𪙚,セツ
𪙛,ジョク ニキ
𪙜,チツ
𪙝,ショウ ソウ
𪙞,サン セン
𪙟,キン コン
𪙢,タイ
𪙤,ギン ゴン
𪙥,セツ
𪙦,サイ セ
𪙧,キ ゲ
𪙨,カン ケン
𪙩,カン ケン
𪙪,レキ
𪙫,ク
𪙬,シ
𪙭,ソウ
𪙮,サク
𪙯,アツ アチ
𪙰,カツ ケチ ロウ
𪙲,コン
𪙴,ギ
𪙵,サ
𪙶,シ
𪙷,ロウ
𪙸,シ
𪙹,チュウ
𪙺,リ
𪙻,サツ
𪙼,サ
𪙽,レキ リャク
𪙾,ギン
𪚀,レン
𪚁,レン
𪚂,ハク
𪚃,サン ザン
𪚄,レン
𪚇,シャク
𪚈,ハク
𪚉,テン
𪚋,ガツ
𪚍,シ
𪚎,タイ
𪚑,リョウ リュ
𪚒,ケン
𪚓,ロウ ル
𪚕,カン
𪚖,ロウ
𪚗,ロウ
𪚘,ロウ ル
𪚙,レイ
𪚜,ケン
𪚝,リョウ
𪚞,ロウ
𪚟,ケン
𪚠,リョウ リュ
𪚢,ボウ
𪚥,テツ テチ
𪚦,キ
𪚧,キ
𪚨,キ
𪚫,ダン
𪚬,カン コン
𪚭,コウ ク
𪚮,ゼン ネン ダン ナン
𪚯,ショク ソク
𪚰,ショウ
𪚱,ショウ
𪚲,わき
𪚳,ダン
𪚵,コウ
𪚶,ク グ
𪚸,キョ コ
𪚹,チュ ジュ
𪚺,キュウ ク
𪚻,ヨウ オウ
𪚼,シュウ
𪚽,トウ
𪚾,バイ
𪚿,キ
𪛀,コウ ギョウ
𪛁,シュウ あき
𪛂,ケイ エ
𪛃,ク
𪛈,レイ リョウ
𪛊,ゴン ギン チン
𪛋,ショウ
𪛍,チ
𪛎,ヒ
𪛏,アン エン
𪛐,スイ
𪛑,スイ
𪛒,レン
𪛓,ロク
𪛔,チ
𪛕,ショウ
𪛖,ショウ
𪜖,いそぎ
𪜩,さぎ
𪜪,さぎ
𪜬,ヨ ト あまる
𪜸,とねりこ
𪜽,かつ
𪝆,か
𪝒,カ
𪝘,くつがえす
𪝟,いましめる
𪞖,ハン ただよう
𪞗,ネイ
𪞙,ブン
𪞮,レイ
𪞵,ふぶき
𪟄,サク
𪟇,くじりえる
𪟗,かなり
𪟧,たばかる
𪟷,うちかう
𪠘,カイ
𪠲,ボツ シュ ほこ
𪡅,わに
𪡠,せん
𪡡,にげかむ
𪡨,なげく
𪡹,ひかえる
𪢂,つくづく
𪢊,かまびすしい
𪣥,ほとぎ
𪣨,さま
𪥄,テイ ダイ タ ダ かぢ
𪥣,あら
𪥮,しゅうとめ
𪥲,かんなぎ
𪥽,おみな
𪦊,なまめく
𪦏,きさき
𪦦,よめ
𪦨,やもめ
𪦮,うば
𪦺,かせ
𪧟,ネイ やすい むしろ
𪨎,しゃか
𪨡,ふむ
𪨢,あらし
𪨬,は
𪩩,いち
𪪺,コウ グ ひろい ひろめる
𪪿,ゆずか
𪫄,にちょうのゆみ
𪫧,おもしろい
𪫬,ねんごろ
𪫸,おびやかす
𪬃,ケン カン セン よし
𪬅,あこがれる
𪬿,すずろに
𪭉,あらわす
𪭱,さがす
𪭷,たぐり
𪭺,ラツ ラチ レツ レチ とる
𪭼,つむる
𪮇,ら
𪮲,ショウ ゾウ ヨウ さま
𪮷,さ は
𪯆,えと
𪯙,テキ かたき
𪰒,さる
𪰧,コウ
𪰪,あさぼらけ
𪱀,しぼむ
𪱤,むつまじい
𪱨,おぼろ
𪱩,めく
𪱱,きね
𪱲,むねのき
𪱳,むく
𪱶,ざんぶと
𪱹,もちのき
𪱻,えのき
𪲆,はじき
𪲇,ふし
𪲒,もみじ
𪲓,やつぼ
𪲖,はしら
𪲢,さかき
𪲦,うだち
𪲧,ショウ
𪲨,かき
𪲳,かき
𪲼,まき
𪳂,ぬる
𪳃,のりくら
𪳆,しで
𪳉,すぎ
𪳊,すぎのき
𪳏,リョウ ロウ かど
𪳒,くるみ
𪳓,てらつつき
𪳖,ひ
𪳡,ついくし
𪳢,させぶ
𪳤,みやつこぎ
𪳧,はいのき
𪳱,つきさい
𪳳,すぎ
𪳺,こがのき
𪴀,はり
𪴆,むろのき
𪴇,したぐら
𪴎,ゆやなぎ
𪴐,せつ
𪴓,なしのき
𪴕,こしき
𪴠,じゅ
𪴡,もちのき
𪶉,はま
𪷂,ボ したう
𪷌,とだえ
𪷤,リン さむい
𪸢,つくろう
𪸫,もえくず
𪹥,はためく
𪹶,あくたび
𪺊,えい
𪺐,つかむ
𪺲,しろむ
𪻅,エン
𪻌,むじな
𪻓,よう
𪻘,タン
𪼑,かたい
𪼪,いわ
𪼶,まり
𪼷,みか
𪼸,なべ
𪼹,なべ
𪼻,つぼ
𪼼,よこべ
𪽋,あらきはり
𪽘,あぜ
𪽥,びとう
𪽺,あしのけ
𪾗,もる
𪾧,まなじり
𪾨,みる
𪾬,にらむ
𪾵,しかる
𪾻,とりめ
𪾼,めしい
𪾿,みる
𪿈,やき
𪿢,ヒ ヘキ ビャク ビ ハク ヒャク ヘイ ミ おきて
𫀃,のと
𫀧,むく
𫀷,みのる
𫀹,あき
𫁁,たがえす
𫁆,なりわい
𫁑,まど
𫁖,ねらう
𫁗,ほき
𫂅,あおだ
𫂉,セチ セツ ころ さだめ とき のっと ふし ほどあい みさお
𫂒,たまのすだれ
𫂣,しずき
𫂩,うつぼ
𫂲,もみがら
𫃄,ちまき
𫃇,くましね
𫃜,コウ
𫃲,ほころび
𫃵,ル ロウ リュウ いと
𫄊,はなづな
𫄗,かたほ
𫅿,くさぎる
𫆓,みみぶくろ
𫆛,さかやき
𫆨,まえ
𫆷,ほぞ
𫆺,おとがい
𫇜,はんにゃ
𫇠,たかし
𫇨,ははき
𫇩,むこ
𫇻,まきくさ
𫇿,しば
𫈂,たたみ
𫈄,たまずし
𫈆,きぬがさ
𫈇,さい
𫈓,えびね
𫈞,なめぬなわ
𫈤,すげ
𫈴,ハツ ホチ ハイ
𫈹,わらび
𫈽,きくらげ
𫉀,さき
𫉇,わ
𫉑,ひる
𫉒,なもみ
𫉙,ひし
𫉜,つらなぐさ
𫉠,すずみむしろ
𫉬,カク ワク コ ゲ カ える
𫉰,くぼて
𫉻,なもみ
𫊀,おり
𫊄,くろ
𫊘,したぐら
𫊜,てづくり
𫊞,ギャク ガク しいたげる
𫊦,じょうごむし
𫊧,かみきりむし
𫊫,ソウ ショウ のみ はやい
𫊰,あゆ
𫊳,かい
𫊺,きく
𫊽,しみ
𫊾,せみ
𫋂,さい
𫋃,あまびこ
𫋅,せみ
𫋆,みな
𫋉,きさ
𫋋,さかずきむし
𫋎,しゅ
𫋏,しん
𫋐,コウ グ
𫋕,はえ
𫋖,あわび
𫋘,みな
𫋚,あしはらがに
𫋝,あり
𫋢,きりぎりす
𫋤,くも
𫋯,すむ
𫋵,きぬ
𫋼,いとごろも
𫋾,コ はかま
𫌅,おび
𫌈,あこめ
𫌓,くつ
𫌟,かたみ
𫌥,うかがいみる
𫌧,かおみ
𫌷,でんしん
𫍄,はやす
𫍆,ことごとしい
𫍋,こぼす
𫍒,はかない
𫎁,やつ
𫎇,モウ ボウ おおう こうむる
𫎕,まかない
𫎮,に
𫏀,こはぎ
𫏂,ふるい
𫏄,テイ エイ
𫏉,あなうら
𫏏,たずねる
𫏔,くつがえりふす
𫏡,とな
𫏩,たどる
𫏮,ころばす
𫐞,おしたつ
𫐤,あと
𫐯,ゆ
𫑖,かたほ
𫑵,ますず
𫒀,エツ オチ ここに
𫒁,そとも
𫒆,もじきり
𫒉,あぶみ
𫒎,みずかね
𫒒,むね
𫒓,かなうす
𫒖,いもの
𫒚,うまのかみばさみ
𫒜,とざす
𫒦,たつき
𫒪,かぶと
𫒯,なた
𫒲,かねい
𫒴,ほこさき
𫒼,さかほこ
𫓀,くつわ
𫓃,へしくぎ
𫓊,かなえ
𫓍,ふき
𫓐,へらくき
𫓔,のこぎり
𫓘,さび
𫓚,あおつるぎ
𫔙,じん
𫔚,うつろ
𫔝,つぶさに
𫔞,ふぐり
𫔟,バツ ハツ ボチ
𫔪,あざる
𫕅,セイ サイ シ のぼる にじ おちる
𫕟,そら
𫕣,あられ
𫕻,そぞろ
𫖋,くつのきびす
𫖝,うつぶす
𫖟,はざま
𫖢,ケン ゲン あきらか あらわす あらわれる
𫖨,くぼし
𫗆,さめく
𫘇,ひき
𫘋,あお
𫘕,ときうま
𫘹,ひさし
𫙈,ない
𫙋,そぞろく
𫙏,すみ
𫙑,ごんずい
𫙒,このしろ
𫙕,あなご
𫙖,どじょう
𫙚,なまず
𫙜,このしろ
𫙞,いしもち
𫙟,さけ
𫙠,いるか
𫙡,さわら
𫙥,たなご
𫙧,ちか わかさぎ
𫙨,とど
𫙩,ぼら
𫙪,めなだ
𫙫,いんどたい
𫙬,ぎぎ
𫙮,あゆ
𫙯,はや
𫙰,はむ
𫙱,まなかつお
𫙲,いるか
𫙳,なまず
𫙵,やまめ
𫙶,きす
𫙸,すいたたき
𫙹,ブリザード
𫙻,ふぐ
𫙼,めくじら
𫙾,かじか
𫚀,わかさぎ
𫚂,さめ
𫚄,はえ はや
𫚅,さわら
𫚆,ぼら
𫚇,あら
𫚵,てらつつき
𫚻,みさご
𫚾,つばびらこ
𫛀,はしたか
𫛄,かも
𫛅,さぎ
𫛍,おおとり
𫛑,さぎ
𫛒,みなしごどり
𫛔,うずら
𫛖,たか
𫛗,いそどり
𫛘,しじゅうから
𫛙,くくわけなく
𫜛,くもる
𫜤,かぐ
𫝀,ゴ いつ いつつ
𫝁,ボウ う
𫝂,ショ ところ
𫝃,ジ ニ なんじ しかり
𫝄,キュウ ク ひさしい
𫝅,い
𫝆,コン キン いま
𫝇,メイ ミョウ いのち
𫝉,ソウ くら
𫝊,デン つたえる つたわる つたう
𫝌,ヨ あたえる
𫝍,コウ おか
𫝐,ゼン まえ
𫝑,セイ いきおい
𫝒,ヒ
𫝓,キョウ ギョウ かなう
𫝔,ギョウ
𫝕,シン ジン たつ
𫝖,ソ
𫝗,コウ あつい
𫝝,ガン ゲン ゴン おごそか きびしい いかめしい いつくし いましめる
𫝟,チョウ チュ
𫝠,ダン
𫝡,ダ タ キ おこたる おちる くずす くずれる
𫝢,ショウ ます
𫝣,ます
𫝤,シュ ソウ かなでる すすめる
𫝯,ガク まなぶ
𫝰,かま かまど
𫝱,ネイ
𫝲,コウ しり
𫝳,コ
𫝶,サ ザ います くら すわる
𫝷,ザ すわる
𫝸,ゲン ひこ
𫝹,ネン
𫝼,ハツ バチ バツ ハチ ボチ はねる おさめる かかげる のぞく ばち
𫝿,つき
𫞀,ゾク
𫞁,はた
𫞂,ギョク ヨウ
𫞃,ショウ
𫞄,シン すすむ
𫞆,また
𫞇,リュウ ロウ
𫞈,さす
𫞉,リュウ やなぎ
𫞊,とち
𫞋,ショウ シヨウ シュ つく うつ もみ
𫞌,もみ
𫞍,ダン
𫞎,キョウ はし
𫞏,キョウ はし
𫞐,ケン ゴン
𫞑,とう
𫞒,レキ
𫞓,サイ セイ とし
𫞕,シ うじ
𫞖,ミン たみ
𫞘,エン ふち
𫞙,ボ
𫞜,マン みちる
𫞞,カン そそぐ
𫞟,イ
𫞤,エン さる
𫞪,ジン はなはだ はなはだしい
𫞫,かます
𫞬,ケイ ギョウ ひきつる
𫞮,テキ まと
𫞯,エイ みちる みたす
𫞰,エイ ヨウ みちる
𫞱,エン しお
𫞲,シン ま まこと
𫞴,サイ まつる まつり
𫞵,ソ はじめ
𫞶,なで
𫞸,ばら
𫞹,クウ ク コウ そら あく あける から むなしい すく
𫞺,セチ セツ ぬすむ
𫞽,サ サイ みの
𫞾,ヘイ
𫞿,ヤナセ やな
𫟀,もち
𫟁,カ ゲ
𫟈,ビ うつくしい
𫟉,ショク トク ヨク シキ つかさ
𫟋,ヨ あたえる
𫟌,ガイ かる
𫟍,エン オン その
𫟎,コウ あらい あれる あらす
𫟏,ト ツ ズ
𫟐,ぼう
𫟒,ヨウ は
𫟓,ガン カン つぼみ
𫟔,ケツ カチ わらび
𫟖,ゾウ くら
𫟘,エイ まもる
𫟙,エイ まもる
𫟚,リ うら
𫟛,タン
𫟜,カン ケン みる しめす
𫟝,ジョウ ゆずる
𫟨,エン オン
𫟪,ヘン あたり
𫟯,ジュウ チョウ え おもい かさねる かさなる
𫟰,トウ ソウ ショウ なべ こじり こて
𫟱,チュウ い
𫠃,シュ
𫠉,バ ま うま
𫠍,さより
𫠓,チョウ とり
𫠔,エン オン おしどり
𫠕,ヨウ オウ たか
𫠘,ユウ ユ いたち
𫠚,シュツ セキ くぎり こま くさり きれめ
𫠝,ベツ ミノガメ
𫠥,ロウ ル
𫡤,あつまる
𫡷,ヘクタール
𫢏,テイ ひくい
𫢽,ふくつけし
𫣁,はやらす
𫣄,せん
𫣒,かめ
